date,Volume,Speed
2021-11-07 20:45:00+11:00,319.0,42.258139546712236
2021-11-07 21:00:00+11:00,345.0,32.53333333333333
2021-11-07 21:15:00+11:00,327.0,38.06666666666667
2021-11-07 21:30:00+11:00,303.0,38.13333333333333
2021-11-07 21:45:00+11:00,280.0,37.93333333333333
2021-11-07 22:00:00+11:00,253.0,37.26372095743815
2021-11-07 22:15:00+11:00,259.0,35.333333333333336
2021-11-07 22:30:00+11:00,206.0,38.6
2021-11-07 22:45:00+11:00,153.0,38.089457448323564
2021-11-07 23:00:00+11:00,127.0,36.733333333333334
2021-11-07 23:15:00+11:00,141.0,39.93333333333333
2021-11-07 23:30:00+11:00,112.0,39.8
2021-11-07 23:45:00+11:00,89.0,39.93333333333333
2021-11-08 00:00:00+11:00,68.0,42.0
2021-11-08 00:15:00+11:00,66.0,41.86666666666667
2021-11-08 00:30:00+11:00,52.0,40.86666666666667
2021-11-08 00:45:00+11:00,54.0,39.53333333333333
2021-11-08 01:00:00+11:00,51.0,39.76837209065755
2021-11-08 01:15:00+11:00,33.0,41.8
2021-11-08 01:30:00+11:00,29.0,42.0
2021-11-08 01:45:00+11:00,22.0,42.0
2021-11-08 02:00:00+11:00,28.0,45.46232503255208
2021-11-08 02:15:00+11:00,28.0,42.0
2021-11-08 02:30:00+11:00,31.0,42.0
2021-11-08 02:45:00+11:00,31.0,42.0
2021-11-08 03:00:00+11:00,24.0,42.0
2021-11-08 03:15:00+11:00,30.0,42.0
2021-11-08 03:30:00+11:00,33.0,42.0
2021-11-08 03:45:00+11:00,28.0,42.0
2021-11-08 04:00:00+11:00,34.0,42.0
2021-11-08 04:15:00+11:00,43.0,42.0
2021-11-08 04:30:00+11:00,89.0,42.0
2021-11-08 04:45:00+11:00,124.0,42.0
2021-11-08 05:00:00+11:00,161.0,41.733333333333334
2021-11-08 05:15:00+11:00,259.0,42.0
2021-11-08 05:30:00+11:00,416.0,41.93333333333333
2021-11-08 05:45:00+11:00,540.0,36.0655813852946
2021-11-08 06:00:00+11:00,735.0,40.895503743489584
2021-11-08 06:15:00+11:00,868.0,31.112092717488608
2021-11-08 06:30:00+11:00,901.0,20.748837280273438
2021-11-08 06:45:00+11:00,856.0,23.746976852416992
2021-11-08 07:00:00+11:00,909.0,35.439690017700194
2021-11-08 07:15:00+11:00,908.0,39.7289924621582
2021-11-08 07:30:00+11:00,880.0,38.044341278076175
2021-11-08 07:45:00+11:00,831.0,31.77519353230794
2021-11-08 08:00:00+11:00,891.0,32.986201477050784
2021-11-08 08:15:00+11:00,810.0,26.65023282368978
2021-11-08 08:30:00+11:00,783.0,28.43658930460612
2021-11-08 08:45:00+11:00,859.0,28.535968907674153
2021-11-08 09:00:00+11:00,809.0,24.102945709228514
2021-11-08 09:15:00+11:00,713.0,30.96775182088216
2021-11-08 09:30:00+11:00,715.0,32.37457377115886
2021-11-08 09:45:00+11:00,659.0,31.632248051961263
2021-11-08 10:00:00+11:00,648.0,28.134883626302084
2021-11-08 10:15:00+11:00,595.0,28.942945861816405
2021-11-08 10:30:00+11:00,634.0,32.40434112548828
2021-11-08 10:45:00+11:00,647.0,25.755503972371418
2021-11-08 11:00:00+11:00,619.0,32.60759684244792
2021-11-08 11:15:00+11:00,595.0,31.31162796020508
2021-11-08 11:30:00+11:00,623.0,27.747906748453776
2021-11-08 11:45:00+11:00,561.0,24.377674357096353
2021-11-08 12:00:00+11:00,566.0,28.102170562744142
2021-11-08 12:15:00+11:00,590.0,29.908527119954428
2021-11-08 12:30:00+11:00,553.0,33.46263542175293
2021-11-08 12:45:00+11:00,617.0,31.38015505472819
2021-11-08 13:00:00+11:00,577.0,25.533333333333335
2021-11-08 13:15:00+11:00,580.0,30.11038767496745
2021-11-08 13:30:00+11:00,621.0,27.382325490315754
2021-11-08 13:45:00+11:00,566.0,26.217364247639974
2021-11-08 14:00:00+11:00,473.0,21.62062021891276
2021-11-08 14:15:00+11:00,550.0,32.428992462158206
2021-11-08 14:30:00+11:00,604.0,42.779379526774086
2021-11-08 14:45:00+11:00,554.0,33.12821706136068
2021-11-08 15:00:00+11:00,526.0,32.74248072306315
2021-11-08 15:15:00+11:00,536.0,34.74573618570964
2021-11-08 15:30:00+11:00,592.0,37.13534901936849
2021-11-08 15:45:00+11:00,606.0,28.62062021891276
2021-11-08 16:00:00+11:00,594.0,37.69054234822591
2021-11-08 16:15:00+11:00,642.0,26.159844716389973
2021-11-08 16:30:00+11:00,502.0,29.722325388590495
2021-11-08 16:45:00+11:00,550.0,27.904496002197266
2021-11-08 17:00:00+11:00,615.0,32.71829427083333
2021-11-08 17:15:00+11:00,651.0,34.06465123494466
2021-11-08 17:30:00+11:00,636.0,29.13813959757487
2021-11-08 17:45:00+11:00,631.0,25.88248062133789
2021-11-08 18:00:00+11:00,530.0,28.08155034383138
2021-11-08 18:15:00+11:00,534.0,27.793333435058592
2021-11-08 18:30:00+11:00,488.0,28.106821695963543
2021-11-08 18:45:00+11:00,486.0,27.006201426188152
2021-11-08 19:00:00+11:00,434.0,31.20852711995443
2021-11-08 19:15:00+11:00,340.0,43.50062001546224
2021-11-08 19:30:00+11:00,381.0,38.13907012939453
2021-11-08 19:45:00+11:00,373.0,39.775814056396484
2021-11-08 20:00:00+11:00,335.0,36.911627705891924
2021-11-08 20:15:00+11:00,353.0,32.95348866780599
2021-11-08 20:30:00+11:00,296.0,38.0
2021-11-08 20:45:00+11:00,298.0,36.54837188720703
2021-11-08 21:00:00+11:00,305.0,37.83968989054362
2021-11-08 21:15:00+11:00,298.0,38.6
2021-11-08 21:30:00+11:00,287.0,35.83023274739583
2021-11-08 21:45:00+11:00,256.0,42.57410837809245
2021-11-08 22:00:00+11:00,228.0,40.47906977335612
2021-11-08 22:15:00+11:00,196.0,37.872868092854816
2021-11-08 22:30:00+11:00,161.0,41.54046503702799
2021-11-08 22:45:00+11:00,151.0,38.55534871419271
2021-11-08 23:00:00+11:00,112.0,39.97023264567057
2021-11-08 23:15:00+11:00,105.0,40.2
2021-11-08 23:30:00+11:00,94.0,41.666666666666664
2021-11-08 23:45:00+11:00,89.0,41.09643452962239
2021-11-09 00:00:00+11:00,58.0,40.4
2021-11-09 00:15:00+11:00,42.0,41.666666666666664
2021-11-09 00:30:00+11:00,43.0,42.0
2021-11-09 00:45:00+11:00,28.0,42.0
2021-11-09 01:00:00+11:00,51.0,42.0
2021-11-09 01:15:00+11:00,40.0,42.0
2021-11-09 01:30:00+11:00,27.0,42.0
2021-11-09 01:45:00+11:00,31.0,42.0
2021-11-09 02:00:00+11:00,25.0,42.122170511881514
2021-11-09 02:15:00+11:00,41.0,43.28124033610026
2021-11-09 02:30:00+11:00,16.0,42.0
2021-11-09 02:45:00+11:00,24.0,42.0
2021-11-09 03:00:00+11:00,22.0,42.0
2021-11-09 03:15:00+11:00,31.0,42.0
2021-11-09 03:30:00+11:00,40.0,42.0
2021-11-09 03:45:00+11:00,31.0,42.0
2021-11-09 04:00:00+11:00,42.0,42.0
2021-11-09 04:15:00+11:00,43.0,41.86666666666667
2021-11-09 04:30:00+11:00,71.0,44.882790883382164
2021-11-09 04:45:00+11:00,121.0,42.0
2021-11-09 05:00:00+11:00,171.0,41.46666666666667
2021-11-09 05:15:00+11:00,268.0,41.77116266886393
